,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
History,100.0,77.77777777777779,22.22222222222222,100.0,37.5,100.0,36.666666666666664,33.33333333333333,80.0,22.22222222222222,100.0,79.16666666666666
Math,100.0,80.0,20.0,95.0,23.333333333333332,100.0,38.0,48.0,80.0,13.333333333333334,61.111111111111114,54.347826086956516
ELA,100.0,77.77777777777779,16.666666666666664,100.0,36.666666666666664,100.0,40.0,48.333333333333336,82.0,19.444444444444446,42.857142857142854,40.909090909090914
Homeroom,91.66666666666666,77.77777777777779,11.11111111111111,45.83333333333333,16.666666666666664,100.0,40.0,43.333333333333336,73.33333333333333,11.11111111111111,41.66666666666667,46.666666666666664
Social Skills,83.33333333333334,77.77777777777779,14.814814814814813,100.0,22.22222222222222,100.0,48.888888888888886,42.22222222222222,0.0,18.51851851851852,4.166666666666666,3.0303030303030303
Cash-out,81.25,83.33333333333334,16.666666666666664,0.0,0.0,100.0,42.5,42.5,50.0,16.666666666666664,14.285714285714285,31.25
HW Rein./Study Hall,0.0,0.0,0.0,100.0,33.33333333333333,0.0,0.0,0.0,70.0,0.0,75.0,75.0
