,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
Mon,78.43137254901961,100.0,2.941176470588235,86.27450980392157,31.372549019607842,100.0,33.33333333333333,7.8431372549019605,36.27450980392157,7.8431372549019605,0.0,82.35294117647058
Tue,98.0392156862745,100.0,45.09803921568628,86.27450980392157,27.450980392156865,100.0,29.411764705882355,34.31372549019608,80.3921568627451,21.56862745098039,8.88888888888889,10.0
Wed,100.0,37.254901960784316,0.0,86.27450980392157,19.607843137254903,100.0,50.0,43.13725490196079,80.3921568627451,0.0,80.3921568627451,82.35294117647058
Thu,96.07843137254902,0.0,0.0,80.3921568627451,0.0,100.0,43.13725490196079,100.0,78.43137254901961,0.0,66.66666666666666,23.52941176470588
Fri,19.607843137254903,0.0,0.0,1.8181818181818181,0.0,1.9607843137254901,60.78431372549019,21.568627450980394,19.607843137254903,0.0,0.0,0.0
