,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
Mon,84.31372549019608,100.0,0.0,86.27450980392157,49.01960784313725,100.0,47.05882352941176,0.0,37.25490196078431,0.0,0.0,82.35294117647058
Tue,98.0392156862745,100.0,47.05882352941176,86.27450980392157,37.254901960784316,100.0,35.294117647058826,34.31372549019608,80.3921568627451,28.43137254901961,14.444444444444443,14.444444444444443
Wed,100.0,47.05882352941176,0.0,86.27450980392157,21.568627450980394,100.0,50.0,45.09803921568628,80.3921568627451,0.0,80.3921568627451,82.35294117647058
Thu,94.11764705882352,0.0,0.0,78.43137254901961,0.0,100.0,54.90196078431373,100.0,76.47058823529412,0.0,66.66666666666666,35.294117647058826
Fri,27.450980392156865,0.0,0.0,1.8181818181818181,0.0,1.9607843137254901,60.78431372549019,29.411764705882355,27.450980392156865,0.0,0.0,0.0
