,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
History,100.0,83.33333333333334,25.0,100.0,50.0,100.0,40.0,41.66666666666667,80.0,33.33333333333333,100.0,83.33333333333334
Math,100.0,83.33333333333334,25.0,95.0,33.33333333333333,100.0,44.0,57.49999999999999,80.0,25.0,66.66666666666666,63.04347826086957
ELA,100.0,80.55555555555556,29.166666666666668,100.0,46.666666666666664,100.0,51.66666666666667,60.416666666666664,82.0,29.166666666666668,42.857142857142854,45.45454545454545
Homeroom,95.83333333333334,83.33333333333334,16.666666666666664,41.66666666666667,22.22222222222222,100.0,46.666666666666664,50.0,76.66666666666667,33.33333333333333,45.83333333333333,50.0
Social Skills,88.88888888888889,85.18518518518519,16.666666666666664,100.0,33.33333333333333,100.0,51.11111111111111,50.0,0.0,27.77777777777778,4.166666666666666,3.0303030303030303
Cash-out,78.125,79.16666666666666,25.0,0.0,0.0,100.0,47.5,53.125,45.0,25.0,21.428571428571427,31.25
HW Rein./Study Hall,0.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,70.0,0.0,75.0,83.33333333333334
