,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
Mon,68.62745098039215,100.0,0.0,86.27450980392157,72.54901960784314,100.0,80.3921568627451,0.0,34.31372549019607,0.0,0.0,80.3921568627451
Tue,96.07843137254902,96.07843137254902,70.58823529411765,86.27450980392157,43.13725490196079,100.0,45.09803921568628,35.294117647058826,76.47058823529412,39.2156862745098,21.11111111111111,20.0
Wed,100.0,21.568627450980394,0.0,86.27450980392157,15.686274509803921,100.0,50.0,27.450980392156865,82.35294117647058,0.0,76.47058823529412,80.3921568627451
Thu,94.11764705882352,0.0,0.0,82.35294117647058,0.0,100.0,74.50980392156863,100.0,74.50980392156863,0.0,66.66666666666666,54.90196078431373
Fri,37.254901960784316,0.0,0.0,0.0,0.0,1.9607843137254901,58.82352941176471,49.01960784313725,37.254901960784316,0.0,0.0,0.0
