,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
Math,100.0,93.33333333333333,40.0,97.5,63.33333333333333,100.0,52.0,65.0,80.0,35.0,72.22222222222221,73.91304347826086
History,100.0,77.77777777777779,33.33333333333333,100.0,45.83333333333333,100.0,53.333333333333336,29.166666666666668,80.0,50.0,100.0,95.83333333333334
ELA,100.0,66.66666666666666,37.5,100.0,40.0,100.0,65.0,50.0,82.0,33.33333333333333,50.0,50.0
Homeroom,83.33333333333334,61.111111111111114,33.33333333333333,45.83333333333333,33.33333333333333,100.0,56.666666666666664,50.0,66.66666666666666,50.0,45.83333333333333,56.666666666666664
Social Skills,75.0,66.66666666666666,33.33333333333333,100.0,51.85185185185185,100.0,73.33333333333333,50.0,0.0,38.88888888888889,8.333333333333332,9.090909090909092
Cash-out,75.0,66.66666666666666,31.25,0.0,0.0,100.0,55.00000000000001,43.75,40.0,37.5,10.714285714285714,31.25
HW Rein./Study Hall,0.0,0.0,0.0,100.0,41.66666666666667,0.0,0.0,0.0,65.0,0.0,75.0,66.66666666666666
