,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
History,100.0,100.0,0.0,100.0,6.25,100.0,20.0,25.0,80.0,8.333333333333332,100.0,66.66666666666666
Math,100.0,100.0,10.0,95.0,0.0,100.0,22.0,50.0,80.0,0.0,55.55555555555556,43.47826086956522
ELA,100.0,100.0,4.166666666666666,100.0,10.0,100.0,20.0,50.0,82.0,8.333333333333332,35.714285714285715,31.818181818181817
Homeroom,87.5,100.0,0.0,41.66666666666667,0.0,100.0,20.0,50.0,70.0,0.0,37.5,40.0
Social Skills,75.0,100.0,0.0,100.0,0.0,100.0,31.11111111111111,50.0,0.0,0.0,0.0,0.0
Cash-out,68.75,100.0,0.0,0.0,0.0,100.0,27.500000000000004,46.875,30.0,25.0,14.285714285714285,21.875
HW Rein./Study Hall,0.0,0.0,0.0,100.0,12.5,0.0,0.0,0.0,80.0,0.0,100.0,75.0
