,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
Mon,68.62745098039215,100.0,0.0,86.27450980392157,3.9215686274509802,100.0,1.9607843137254901,0.0,35.29411764705882,0.0,0.0,80.3921568627451
Tue,96.07843137254902,100.0,5.88235294117647,86.27450980392157,3.9215686274509802,100.0,5.88235294117647,29.411764705882355,78.43137254901961,6.862745098039215,0.0,0.0
Wed,100.0,0.0,0.0,86.27450980392157,0.0,100.0,50.0,27.450980392156865,82.35294117647058,0.0,82.35294117647058,82.35294117647058
Thu,92.15686274509804,0.0,0.0,78.43137254901961,0.0,100.0,9.803921568627452,100.0,74.50980392156863,0.0,68.62745098039215,3.9215686274509802
Fri,0.0,0.0,0.0,0.0,0.0,1.9607843137254901,64.70588235294117,3.9215686274509802,0.0,0.0,0.0,0.0
