class_label,P001,P002,P003,P004,P005,P006,P007,P008,P009,P012,P014,P016
Cash-out,102.16211604095564,94.89550264550265,87.2,,,103.86399548532731,113.09362279511534,93.48771884735203,102.16211604095564,105.42857142857143,92.96842105263158,101.03850641773629
ELA,96.76051893408135,101.36644591611478,94.37931034482759,86.6493288590604,123.7948717948718,93.09437963944856,104.40329815573772,85.70130763936683,96.76051893408135,102.21052631578948,94.87465564738292,117.99736842105263
HW Rein./Study Hall,,,,106.67263157894737,76.8,,,,,,,
History,103.87898089171975,105.41425244956773,94.0,93.84498956158664,79.5,97.51691864650827,97.48294679399727,75.93198992443325,103.87898089171975,70.5,82.80332409972299,88.1655266757866
Homeroom,113.30721830985915,109.70699432892249,90.0,98.0175,74.5,111.96383647798743,114.12424849699399,87.84914463452566,113.30721830985915,91.85714285714286,96.7218045112782,103.84593437945792
Math,109.11412858926342,110.08229426433915,114.17647058823529,89.99359267734553,86.34755,103.30696474634566,101.12724105691058,84.39401496259352,109.11412858926342,72.6,86.69842584921292,88.16256157635468
Social Skills,116.33017077798861,109.50344149459194,86.5926,103.23825034899953,116.1507894736842,115.15760869565217,134.78144776119402,86.29636533084809,116.33017077798861,80.66666666666667,121.99544764795144,146.14694408322498
