class_display,mean,se,n
Homeroom,1.062940670049318,0.0984517142314564,12
Math,0.8873301109263076,0.08424674380729916,12
ELA,0.805397693100489,0.06266948867188735,12
ELA/History,0.9114447046801697,0.14519539443653295,4
History,0.8972507824694236,0.11325127437046155,12
Social Skills,1.3360856999470592,0.1800004848364541,12
Cash-out,1.6304454177859722,0.2921803810414911,9
HW Rein./Study Hall,2.2091646971937084,0.426042835902518,5
Friday Funday,1.296086165142668,0.21541558300501168,5
