HalfHourLabel,mean,se,n
08:30–09:00,0.9606371240759436,0.08842587899431853,12
09:00–09:30,0.8616889060895304,0.08935056000108887,12
09:30–10:00,0.9158974941249914,0.08625240835907509,12
10:00–10:30,0.88361428826345,0.08364343131995165,12
10:30–11:00,1.433334670035064,0.21463712714895122,12
11:00–11:30,1.2410142948673852,0.22608555215761067,12
11:30–12:00,0.8885872345741134,0.09190689409766206,11
12:00–12:30,0.9606202830048679,0.100051310367118,6
12:30–13:00,0.8435423758176629,0.15744764982483755,6
13:00–13:30,1.1264838708889917,0.21627611089642446,5
13:30–14:00,1.281964376392972,0.13501658534530317,7
14:00–14:30,1.9334228481272753,0.3597007971546771,7
14:30–15:00,1.0760756929434596,0.06952441920775539,7
